id,name,elem0,elem1
1058418,白石かんな,30.027323,3.1138124
1053422,飯山香織,-5.679534,-31.884918
15570,KAORI,-5.4183464,32.95912
1038172,さくらい麻乃,-25.613785,11.644664
1048872,赤渕蓮,17.320528,-25.375906
1014279,新山かえで,-19.166658,-29.579794
1064050,星優香,-43.141567,8.836266
1018026,古川いおり,-31.70664,7.40344
1055895,吉岡ひより,12.160365,-4.9185205
1042035,北川礼子,-17.467539,-15.716668
1035596,黒木いくみ,-9.1960745,-11.775754
1046112,星あめり,1.6551774,10.838949
1044814,相沢夏帆,22.279541,4.276474
1065651,逢坂りの,19.502941,9.675899
1065526,初愛ねんね,21.045057,-29.568394
1060916,田原凛花,9.770698,-20.668482
1020504,白石茉莉奈,8.953987,-28.413773
1060592,希代あみ,-4.5182805,-29.676254
1034081,さくらみゆき,13.698723,31.84904
1049172,若宮穂乃,35.1314,14.460685
1055231,有栖いおり,48.37242,-2.1753016
1048559,森下美怜,23.418524,5.1048326
1046172,はるかみらい,22.309837,25.44561
1030985,鮎原いつき,-37.819622,-10.148233
1053420,竹内有紀,45.74951,16.143427
1027757,久我かのん,47.874004,5.063277
1051349,福山いろは,-54.186523,-0.5238876
1042119,桜もこ,11.752565,-18.07247
1046149,七海ティナ,14.226872,1.288491
1029696,三喜本のぞみ,-37.394436,-15.654031
1053041,早美れむ,1.5684469,-20.79515
1057837,七瀬いおり,46.037556,-12.001087
1063276,天使ゆら,9.836711,27.84027
1023710,土屋あさみ,-22.806492,-12.267601
1030527,水谷あおい,-32.708702,18.294708
1013376,橘芹那,-15.68064,-4.4791875
1047077,茉莉ひな,6.893555,25.005117
1062521,福富りょう,-43.342304,-6.6025853
1042129,七沢みあ,47.64417,-3.380883
1064000,高梨有紗,26.257559,5.636466
1062309,西田那津,-9.609265,25.55505
1034298,神坂ひなの,20.040318,25.73881
1051751,森本つぐみ,11.302522,12.9506855
1041963,桐谷なお,26.324463,-2.2434266
1034927,佐倉ねね,51.257927,-1.5105661
1019300,水野朝陽,7.2885246,7.732203
26820,桜井千春,20.545847,0.23378693
1053517,知花凛,8.088086,-32.53775
1059492,竹内夏希,-5.340911,-6.6040654
1051794,根尾あかり,12.546239,33.06442
1058572,清音咲良,16.608688,-17.615986
1057914,花宮あむ,-43.58245,10.375018
1030118,折原ほのか,-18.809734,-6.7321386
1033119,今井真由美,-2.4430788,33.089073
1041897,神宮寺ナオ,41.839275,4.7476993
1028545,佐藤ゆか,24.601505,14.100954
1044547,逢沢りいな,-22.656683,20.051577
1047250,米倉穂香,-44.02478,6.8352942
1042465,川田みはる（三田杏）,27.176163,-13.05039
1041522,海空花,-5.76932,-0.9515715
1038345,すみれ美香,-8.775932,28.61321
1060530,美倉あやみ,32.813747,0.26256025
1063722,凪沙ゆきの,35.665085,-12.805699
1068671,北野未奈,25.6512,-26.168276
1058839,中山琴葉,10.007864,-31.196491
1060673,心実るな,-20.995708,19.977133
1064214,平井栞奈,42.931362,-11.420422
1061586,森日向子,-3.0413043,-29.167091
1066113,篠原りこ,-1.784808,-25.45762
1047378,夏原唯,-5.814576,16.02102
1063726,葉月シュリ,-46.810368,12.573836
1059553,来まえび,-27.53122,8.733534
1006606,蘭々,-2.4954937,-9.390831
1050139,篠崎かんな,-35.950726,-7.548916
1053256,奏音かのん,-6.2595477,-27.525494
1029367,天音りん,-24.005785,-8.335062
